pid,feature,category
17-02-20210310-219,"[0.06273846,-0.076776385,0.057547342,-0.3662417,0.09213045,-0.010963543,0.017990932,-0.13724338,-0.025499033,0.01637251,-0.16316487,-0.135833,0.6197426,0.06900025,0.09251865,0.3024331,0.33827734,-0.034107387,0.11951492,0.19251324,-0.18000826,-0.06332165,0.16143845,-0.18740748,0.14450663,-0.11250373,-0.12563926,-0.1522374,0.11175467,-0.33116817,-0.31230092,0.09597215,-0.040975027,0.28042635,-0.013994232,0.1191752,-0.36759678,-0.36357823,0.3647138,-0.08231553,0.045156248,-0.1434018,-0.25848535,-0.029656172,0.0726391,-0.106092766,-0.11263508,0.037925813,0.09189369,-0.170765,-0.21536365,-0.27458495,-0.433924,-0.019708889,-0.003708034,0.3088853,-0.005179054,-0.15002555,0.06439463,-0.47530803,-0.000687497,0.002964614,-0.019729404,-0.006598508,-0.14043373,-0.055865925,0.31445104,-0.010558252,0.15121213,-0.003168518,-0.24155925,-0.289961,-0.070471466,0.33680823,0.051962625,0.064367905,-0.11172825,0.000281522,0.09905283,-0.16807355,0.05365248,0.38588786,0.022791287,-0.03620798,-0.18555519,-0.04090478,0.15638919,0.27250236,0.15595233,-0.11007754,-0.08675013,-0.12501846,-0.3764887,-0.33447638,-0.0645101,-0.19721422,0.26007104,-0.079878636,0.03714712,0.10882539,0.35947278,0.048199866,-0.30892614,0.010945111,-0.1485491,0.005079322,-0.110140376,0.3215607,0.04077594,0.09343012,0.007599866,0.044698097,-0.1674783,-0.10612468,0.41881818,0.18980233,-0.11512665,-0.12951407,-0.057811372,0.027845932,-0.063040055,-0.33064815,-0.02244122,0.119431764,-0.048759915,0.000617118,-0.07753345,0.08651116,-0.025070803]",1
17-02-20210310-220,"[-0.011775836,-0.10616911,-0.098971374,-0.11645434,0.23536547,-0.003411264,-0.03293662,-0.08211119,0.040597238,0.059132803,0.090663195,-0.08567203,0.33561665,0.10613283,0.026142802,0.2500673,0.09304528,-0.193337,-0.017865948,0.11432012,0.051569942,-0.11920904,0.07989042,-0.14239708,0.027726145,-0.08852222,-0.15339048,-0.13956116,0.10173067,-0.11194131,-0.14084364,0.038677722,-0.09330978,0.03471448,-0.100365445,0.08682602,-0.26292646,-0.05205841,0.049477,-0.044750433,0.10069789,-0.019160949,0.10169792,-0.09342319,-0.060295578,0.06449341,0.10771217,0.03798803,-0.06817361,0.061873835,-0.068794705,-0.17335337,0.046380326,0.000375407,0.07432892,0.15173829,-0.05214805,-0.009016551,0.04340954,-0.14966018,0.058631465,0.03020482,-0.12430405,-0.03185548,-0.012432956,-0.037740327,0.19383687,-0.14644848,0.040069506,0.07612942,-0.057914283,-0.26476216,0.08282966,0.14171934,-0.015590264,-0.054465376,-0.06818497,0.020087771,0.07221881,-0.0912877,0.015133991,0.055425975,0.030614225,-0.000905035,-0.18365636,-0.049018517,0.12978166,0.16023374,-0.01502392,-0.22772974,-0.04699581,-0.0909205,-0.044674136,-0.10040434,-0.023102297,-0.060022384,0.020214655,-0.013915012,-0.028491756,0.101259954,0.15353331,0.122419715,-0.043892868,0.018141434,-0.07929338,0.08480486,-0.008272639,0.09366633,0.009680565,-0.01029285,-0.037552513,0.022286912,-0.15925494,-0.08255903,0.08621351,0.07267032,0.008494332,0.03804684,-0.15908402,0.034586385,-0.06503126,-0.13865438,-0.021175727,-0.012122233,-0.03656741,-0.005544454,0.06979278,0.02173117,1.548338194]",1
17-02-20210311-222,"[0.01471762,-0.099468775,0.06838377,-0.13705206,0.09650868,0.026695553,0.001240417,-0.11499304,0.005758235,-0.012456911,-0.049486768,0.054878023,0.2043491,0.19330864,0.048430294,0.15276663,0.2814242,0.0599702,0.14879549,0.112356134,-0.16970733,0.093913995,0.15368544,-0.15847664,0.1311445,-0.021651275,0.056651644,-0.12083587,-0.093527034,-0.31595615,-0.04909131,0.09957443,0.06574462,0.19768552,0.028988522,-0.09325325,-0.15963612,-0.2683864,0.36044362,0.01714589,0.053803302,0.038985983,-0.16925977,0.056978002,0.03224542,0.03415955,-0.092586875,-0.002846479,-0.046289135,-0.02507602,-0.04505913,-0.08667941,-0.27787045,0.028734535,0.045876708,-0.002278532,0.009368916,-0.161254,0.047474965,-0.30609357,-0.009526843,0.1628967,0.10151815,0.013325581,-0.13779858,-0.0517671,0.00049055,-0.069253415,0.046942897,0.083506316,-0.21640505,-0.18088384,-0.006632303,-0.033681806,0.027782526,0.1495,-0.13975303,-0.13613884,0.014406807,-0.060599554,-0.17645971,0.1377158,0.037600942,0.08161807,0.016967334,-0.075027846,0.16846728,0.034182496,0.014019947,0.045993716,0.05427052,-0.08459027,-0.18798688,-0.30537376,0.025485689,-0.025030242,0.28066316,-0.23307434,-0.035716675,0.15815312,0.10665435,0.030475872,0.012641056,-0.09849207,-0.064394645,-0.10333349,-0.060883358,0.21588658,-0.12062452,0.14472806,-0.012284609,-0.10553585,-0.018155573,0.06595765,0.25305024,0.3160988,-0.051598478,-0.07772033,0.11159352,-0.002767917,0.021519901,-0.13944454,0.106933035,0.13524549,0.054984536,0.11190072,-0.10965761,-0.005230374,-0.182411702]",1
17-02-20210311-223,"[-0.06725456,-0.08961308,-0.2665532,-0.23451678,0.37025082,0.00283669,-0.020711992,-0.04908917,0.06381724,0.15330024,0.12899703,-0.34450588,0.57554364,-0.06721439,-0.024655543,0.46310827,-0.1276127,-0.339187,0.004816729,0.18377127,0.1536184,-0.21436885,0.08160635,-0.14271349,-0.119047135,-0.19901726,-0.35927713,-0.34105188,0.23055466,-0.026596108,-0.30658796,0.01766673,-0.24628478,-0.009819401,-0.18945596,0.18400118,-0.4325852,0.05663473,-0.06803302,-0.07346757,0.10045904,-0.04808108,0.198606,-0.11711207,-0.026676275,0.0471218,0.20101118,0.023635749,-0.07708828,0.15992095,-0.1993084,-0.29513264,0.16661818,0.06090357,0.005651242,0.47797152,0.013909695,0.10768914,0.022769244,-0.13104334,0.14373717,-0.11178277,-0.28553712,-0.04353022,0.08247358,-0.085761584,0.39588064,-0.07965877,0.107406326,0.04082116,0.08359877,-0.37276524,0.110131465,0.37320387,0.06010371,-0.20803064,-0.10655743,0.21276799,0.10854489,-0.22517854,0.11843194,0.15812746,0.05074612,-0.051736854,-0.2589123,0.02407256,0.19430625,0.27823406,-0.012058309,-0.3650365,-0.21950155,-0.20252927,-0.051538102,-0.027451603,-0.0857908,-0.03495408,-0.08806737,0.27839196,-0.049673915,0.03337667,0.22628433,0.11711828,-0.25630125,0.11097404,-0.054958005,0.08387557,-0.010400576,0.01055322,0.19427742,-0.22441815,0.002301155,0.20877175,-0.31883937,-0.10119764,-0.086750574,-0.06749615,0.06274024,0.13866091,-0.30444208,0.083162785,-0.16597731,-0.16892383,-0.029549899,-0.12396596,-0.04346947,-0.039441526,0.15097934,-0.009520297,2.256372243]",1
17-02-20210311-224,"[-0.02388614,-0.010055611,-0.078637116,-0.077586055,0.08005549,0.056851156,0.015651431,-0.10244927,-0.08878389,0.020207785,0.015928905,-0.009445737,0.1580862,0.14888987,-0.010205958,0.017842786,0.08909038,-0.087864965,-0.018116068,0.05355935,0.08906419,-0.049990952,-0.002765648,-0.12080139,0.026887527,0.006310452,0.024080966,-0.062529474,0.041825533,-0.12037252,-0.13646387,-0.005178176,0.003714197,0.066622466,-0.021329809,0.01283122,-0.1846852,-0.11276215,0.117624484,0.001192694,0.04132767,0.021576624,-0.004890741,-0.004133578,0.015982766,-0.035257526,0.020181142,0.08283827,-0.06988391,0.036861178,-0.045120537,-0.055504963,-0.13957156,0.002393864,0.038843706,0.06455556,0.001788051,0.06666256,0.032783084,-0.09879839,-0.010498261,0.051550955,-0.0678347,0.009825526,0.00660897,-0.04710946,0.0566144,-0.025015786,0.077237874,0.074784994,-0.056061834,-0.0909873,0.029922703,-0.029730935,0.052199002,-0.059837166,-0.039298207,0.001819516,0.029755212,-0.003340447,-0.04842574,0.09261641,-0.04946761,-0.036789358,-0.07574873,-0.017575935,0.011469385,0.03956698,-0.003670482,-0.08314207,-0.07940434,-0.016330365,-0.083530545,-0.11949247,0.025976216,0.024167174,0.12575261,-0.06688886,-0.071458176,0.08389277,0.07740653,0.04477364,-0.06784504,-0.051915683,-0.006782823,-0.044814296,-0.008556897,0.12761441,-0.054153122,0.04105166,-0.034197222,-0.033813737,-0.024726106,-0.012925087,0.09851896,0.19047928,-0.01661367,-0.022648629,-0.15274206,0.024806423,-0.014341562,-0.056246847,-0.022236418,-0.0522077,-0.030434858,0.013161819,-0.017940575,0.017116344,0.446951896]",0
17-02-20210311-225,"[-0.028844018,-0.08617635,-0.17841236,-0.21265806,0.2639034,0.005138858,-0.038302034,-0.06468168,0.017052988,0.071407385,0.086882085,-0.16539782,0.48479074,0.028452741,0.004804923,0.31298944,0.06609754,-0.2501682,-0.011048661,0.20065929,0.14060155,-0.15341875,0.049408287,-0.11235459,-0.02370458,-0.19898015,-0.21306589,-0.25750378,0.15720175,-0.13037904,-0.26642773,0.05810243,-0.12127507,0.039843228,-0.082195014,0.11773954,-0.3276726,-0.005539731,0.07691578,-0.058681607,0.1429382,0.037507627,0.1116097,-0.10426744,-0.030528221,0.02523557,0.11552935,0.073898524,-0.1298132,0.08902906,-0.08243774,-0.21705502,0.08353239,-0.015104316,0.039865457,0.2100437,-0.024519563,0.004839016,0.09931056,-0.14974652,0.056337334,-0.05669534,-0.19479927,0.044648647,0.025043346,-0.1389277,0.29751995,-0.15886989,0.08571473,0.005651266,-0.016824123,-0.33114028,0.059319235,0.2525738,-0.025867082,-0.14609727,-0.1079323,0.14714491,0.032921903,-0.19659851,0.011744591,0.15703191,0.03289391,0.041215014,-0.19670346,-0.043682177,0.11168347,0.27562112,-0.061610974,-0.3053514,-0.14744498,-0.1267685,-0.03677479,-0.07185863,0.0021939,-0.045021765,0.023173625,0.091115065,-0.02404922,0.06733025,0.22346722,0.11004562,-0.1518294,0.08696626,-0.034281738,0.049865544,-0.025433244,0.018279111,0.13378945,-0.037292544,-0.005911859,0.1211011,-0.17303333,-0.09256817,0.049612083,0.078651406,0.05156688,0.054149933,-0.26808053,0.042438038,-0.06741978,-0.1193075,-0.06776889,-0.078016,-0.08081965,-0.023809582,0.099809125,-0.037638705,-0.969116201]",1
17-02-20210311-226,"[-0.10530785,-0.07610528,-0.12764518,-0.20232628,0.2125,-0.008691619,-0.041040182,-0.15132232,0.035714544,0.17857468,0.005462345,-0.17901699,0.5033441,0.012639686,0.058666438,0.2816707,0.097800195,-0.30438963,0.052014787,0.17844339,0.05542379,-0.13666749,-0.05978837,-0.27645168,0.023797994,-0.13976318,-0.2140036,-0.28357622,0.17395504,-0.17340599,-0.2611839,-0.011026534,-0.08955778,0.12992577,-0.075664386,0.069119915,-0.40856734,-0.15877023,0.13434394,0.010673893,0.00407302,0.016316839,0.022942819,-0.05027018,-0.06218237,-0.047687422,0.14044166,0.10577618,-0.19082269,0.08350297,-0.17282386,-0.27693325,-0.004796285,0.003111979,0.025994983,0.2167462,0.012980063,0.056917384,0.0264897,-0.23441368,-0.031577453,0.012227049,-0.19567525,0.045231022,0.002092424,-0.15181033,0.31352946,-0.1446424,0.021716502,0.03126015,-0.001898808,-0.4083131,0.06275065,0.2681973,0.000644898,-0.092277214,-0.027009135,0.062307358,0.055470295,-0.18680598,0.080623716,0.23146792,0.051932238,-0.106548816,-0.18041772,-0.024352815,0.18602054,0.3152719,0.028423805,-0.29821345,-0.1163458,-0.119968,-0.15225527,-0.20753929,-0.081676856,-0.18193258,0.08433074,0.091298796,-0.06516168,0.052189745,0.22252662,0.12812534,-0.033904113,0.06105346,-0.0658889,0.11092697,-0.082056,0.20183775,0.039608415,0.003617296,-0.079264164,0.21444283,-0.16628216,-0.07406164,0.12905918,0.056243986,0.037006043,0.023787003,-0.24233377,0.003509548,-0.04590468,-0.20140472,-0.04544118,0.014456116,-0.0946573,-0.034023635,0.069680706,-0.007436453,-0.025070803]",1
17-02-20210311-227,"[-0.002503609,-0.0317626,0.0402202,-0.057192095,0.053964537,-0.000664379,0.018031746,-0.013448014,-0.050460637,-0.031079132,0.028900241,0.062207684,0.10723467,0.12695174,0.1130512,-0.00433222,0.13630885,-0.028255086,0.08603763,0.07882405,-0.02405976,0.004636999,0.06755671,-0.09562966,0.040812366,-0.075245164,0.078159906,0.009902337,-0.06951288,-0.15832295,-0.06550984,0.10068737,0.09388441,0.17851113,0.016029924,-0.052595288,-0.115819804,-0.21611354,0.23269992,0.0406809,0.09027212,0.050960112,-0.09374645,-0.000718295,-0.031761818,-0.007169912,-0.01719151,0.003432107,-0.07189287,-0.000920226,-0.012122477,-0.06341255,-0.19772534,-0.016089125,0.07386827,-0.049309425,-0.014083707,-0.046701424,0.05189588,-0.14685151,-0.036724992,0.15519011,-0.009604877,-0.01524514,-0.009477831,-0.041608784,-0.011340478,-0.067768514,0.036437258,0.020970067,-0.098898515,-0.14286534,0.028063575,-0.061734784,0.026149563,0.027430322,-0.10325155,-0.11156643,-0.011322624,-0.016372234,-0.11992834,0.08661319,-0.001106772,0.014798347,0.001728136,-0.031030914,0.10891992,0.030390227,-0.003183109,-0.028642302,-0.03770198,-0.11161547,-0.14662813,-0.16453558,0.0506071,-0.019614961,0.17544068,-0.16597289,-0.08603597,0.12431105,0.09071066,-0.01824991,0.004457507,-0.06875887,-0.021582894,-0.003262755,-0.031211257,0.16475388,-0.12399412,0.11030024,0.004570486,-0.08710535,-0.027394911,0.014934689,0.13405482,0.21755488,-0.033443734,-0.04703852,-0.021774583,-0.025427423,0.0835266,-0.14565267,0.0520935,0.101680145,-0.009803973,0.072835416,-0.0794513,-0.000409229,0.053599647]",0
17-02-20210312-229,"[-0.08086577,-0.04498361,-0.15834157,-0.21700045,0.3254451,-0.05623523,0.061488695,-0.02669093,0.062805764,0.16406025,0.05212062,-0.1660664,0.4887006,0.1422637,-0.01587085,0.32711253,-0.032027733,-0.32482183,-0.03652671,0.018437427,0.097629726,-0.13009804,0.18023568,-0.120307826,-0.04423088,-0.074136205,-0.24573988,-0.2818644,0.14488678,-0.06600513,-0.16525586,0.013590993,-0.06538004,-0.024602097,-0.21783245,0.1274915,-0.414681,0.029458255,-0.06261545,-0.013705938,-0.00798432,-0.122294515,0.17033298,0.062112726,-0.113377124,0.03959078,0.21653563,0.025931314,-0.066872604,0.115926065,-0.12852544,-0.23321532,0.15000716,0.11327762,-0.016133387,0.46213138,0.022165962,0.015429841,-0.009830536,-0.20454553,0.16570298,-0.032004874,-0.056935556,0.057447813,0.10818989,-0.024412451,0.2193284,-0.046007797,0.05337595,-0.027479753,0.045681223,-0.33423838,0.10647359,0.22786465,0.05043136,-0.18320681,-0.05204977,0.065826744,0.018662654,-0.098574184,-0.004729423,0.089847654,-0.088967435,-0.081582636,-0.11050949,-0.059733655,0.11243359,0.15504013,0.010936313,-0.27165347,-0.10628349,-0.15158713,-0.024440845,-0.07485939,-0.11159463,0.11010214,-0.0356887,0.14644608,-0.026003167,0.058795735,0.045629703,0.06975321,-0.1574698,0.018354395,-0.14387311,0.00494604,0.16609149,0.09994972,0.11080395,-0.25217515,-0.029189425,0.07230576,-0.2474049,-0.056835927,-0.12411421,-0.093426414,0.19157527,0.07784606,-0.23771355,0.15211228,-0.10559138,-0.021003667,0.028507067,-0.07516853,0.002622346,-0.021856315,0.18680662,-0.004978905,0.682963246]",1
17-02-20210312-230,"[0.036403336,-0.001553504,0.027882498,-0.033049308,0.08756949,-0.04509878,0.11571555,0.001014263,-0.111250095,-0.046130974,-0.02279709,-0.000116202,0.055060368,0.19291897,0.035658177,-0.009127384,0.22970095,-0.0505878,0.069520965,0.039118603,0.032371562,-0.019272977,-0.012554178,-0.11646867,0.06745225,-0.047795348,0.11922609,-0.032130454,-0.075347625,-0.12081535,-0.012347383,0.08333916,0.06662315,0.18544029,0.010487599,-0.08675288,-0.16604397,-0.21829891,0.21905649,0.025013942,-0.033314876,-0.042016797,-0.14894,-0.022869974,0.06655116,0.007182596,-0.05883316,0.09144898,-0.03607698,-0.025479723,-0.030649597,-0.088407114,-0.2634468,-0.06940105,0.007254887,0.030454975,0.02377256,-0.008371392,0.028769033,-0.24072778,0.014464195,0.19260794,-0.028381843,0.031971633,-0.06783571,-0.04177143,0.019181073,0.010756853,0.011479843,0.018914305,-0.01887545,-0.13898334,0.0890218,-0.000522035,0.13319199,-0.001849053,-0.03132131,-0.1390469,0.049310055,0.016835608,-0.06649964,0.081515074,-0.012783133,-0.03441118,0.016431108,-0.05771466,0.027157677,-0.022897573,-0.055698708,0.029326824,-0.09819556,-0.12043587,-0.21619272,-0.17620447,-0.05445163,0.13501482,0.2158713,-0.04523029,-0.062575355,0.16080941,0.011121772,-0.060601346,0.007956917,-0.11515169,-0.009149997,-0.09359729,0.055035245,0.16939858,-0.17227757,0.04971112,-0.040735915,-0.12041565,-0.049962334,-0.014255373,0.08372835,0.28248447,0.037844203,-0.048674908,-0.09728973,-0.014993614,0.02517611,-0.12671028,0.005977251,0.12642327,0.05422048,0.07291462,-0.08815452,0.1048015,-0.418423052]",0
17-02-20210312-231,"[-0.01638624,-0.001704002,0.09712156,-0.01772108,0.010902409,0.012361015,0.04046505,-0.016039759,-0.13204253,-0.050918374,-0.0617692,0.07242101,0.003115037,0.25308093,0.14387666,-0.03348417,0.26912093,-0.005315771,0.12093661,0.055187546,-0.04993352,0.04929172,0.07729621,-0.13687249,0.09804908,-0.01911017,0.17529418,0.003864178,-0.111048974,-0.2735364,-0.06496267,0.06955879,0.15716073,0.27744964,0.00020556,-0.11422271,-0.14918792,-0.27176473,0.30732977,0.016419277,0.049218304,0.09499733,-0.1846347,0.007334246,0.04285195,-0.030698003,-0.11574913,0.053486943,-0.059471946,-0.07214153,0.010763453,-0.055325866,-0.41495708,-0.027059468,0.055069577,-0.1264996,0.004097887,-0.07598774,0.01605095,-0.22734392,-0.10593484,0.21518466,0.034606636,0.014463665,-0.10541754,-0.03708429,-0.06439629,-0.017790386,0.06909732,0.042492032,-0.16078332,-0.08609997,-0.040648386,-0.13728577,0.040520053,0.0910252,-0.08749536,-0.19416559,-0.050371237,0.006601949,-0.1548418,0.14002046,0.028546339,-0.027324613,0.06491772,-0.04732599,0.07251405,0.015558243,-0.02044208,0.088082016,0.018041084,-0.12198198,-0.24857587,-0.22583717,0.09523321,0.033960305,0.31335932,-0.18368606,-0.028346157,0.16984636,0.046869848,-0.002748356,0.012117678,-0.13553159,0.041322872,-0.06892127,-0.014420219,0.22560373,-0.20732611,0.20337404,-0.048483107,-0.10470223,0.03976044,0.029604798,0.24394439,0.34218216,-0.0735062,-0.06204275,-0.022706307,-0.0463915,0.05611001,-0.18583265,0.05796781,0.18337205,0.03218293,0.04841421,-0.1572516,0.049074512,0.368281447]",0
17-02-20210312-232,"[-0.020671144,-0.17470849,-0.21155097,-0.23781534,0.4933812,0.008479222,0.038408212,-0.036042906,0.10470977,0.215609,0.1146736,-0.19939265,0.5952715,0.04513994,-0.090336174,0.45769086,-0.07725895,-0.3459836,-0.10184163,0.12198788,0.15644343,-0.11337462,0.19511376,-0.107656956,-0.03799828,-0.12877193,-0.3776392,-0.39801714,0.20954321,-0.006990488,-0.15954313,0.07359145,-0.19798373,-0.049887046,-0.24998492,0.20201778,-0.39758736,0.13240886,-0.063121445,-0.06453429,0.06559472,-0.052606896,0.2850069,0.022738013,-0.04197543,0.15006194,0.20118424,0.012032726,-0.17101504,0.29072842,-0.104384735,-0.23262593,0.32969898,0.13213412,0.06611256,0.47628415,-0.06418187,0.02525398,-0.0538245,-0.10968307,0.26282638,-0.13062498,-0.11171654,-0.0504371,0.10817786,-0.012191867,0.36328632,-0.11427046,-0.013635894,0.081654385,-0.010279814,-0.424984,0.15493748,0.34331113,0.13232957,-0.19449916,-0.090938225,0.17626666,0.11443968,-0.22163428,0.12208581,0.06351021,0.016419763,0.037732925,-0.31189755,-0.10786844,0.27573788,0.20529236,-0.044252813,-0.34401998,-0.035993822,-0.13918155,0.087262705,0.006641507,-0.109470665,0.037668712,-0.070622616,0.16710241,-0.06753228,0.042419925,0.121093735,0.16782178,-0.23604992,0.11588644,-0.03887268,0.011567263,0.041414306,0.06505555,0.072129935,-0.23303534,0.04228951,0.10946617,-0.33751455,-0.032519497,-0.17865378,-0.050452583,0.14909041,0.08591249,-0.24098673,0.13851643,-0.15322796,-0.008704522,0.0602464,-0.13736878,0.022468764,0.040873133,0.26263085,-0.111368336,0.761633696]",1
17-02-20210315-236,"[-0.004106421,-0.030161114,0.20171247,-0.15303634,-0.10259401,0.03119383,-0.015932959,-0.16040312,-0.13894132,-0.06360982,-0.1957556,0.08233135,0.05309904,0.34383947,0.07430799,-0.011009332,0.39145172,0.1787129,0.112308815,0.07635608,-0.26528025,0.0994963,0.036720373,-0.16931365,0.2889836,0.10781295,0.207871,0.03659171,-0.14242099,-0.42518213,-0.13118099,-0.045881167,0.14989182,0.35651305,0.050458387,-0.26796764,-0.23429473,-0.4366582,0.5748727,-0.018013582,0.036193714,0.09917325,-0.30327252,0.026761893,0.15282124,-0.09168296,-0.34878397,0.11347022,0.004168744,-0.17401828,0.077430345,-0.13633691,-0.570634,0.001335634,0.018460222,-0.18922926,0.11429783,-0.07043006,-0.025317412,-0.33282208,-0.10465264,0.25241795,0.08337026,0.068954706,-0.26505992,-0.025257215,-0.019077655,0.09930937,0.07979966,0.054289687,-0.37996876,-0.03952293,-0.076460615,-0.09660387,-0.007689845,0.25099516,-0.10260223,-0.28109068,0.015006623,0.07096393,-0.13064978,0.2827929,0.04267741,-0.03030818,0.073495775,-0.012899239,0.16525975,0.030984534,0.03857039,0.14300808,0.11213543,-0.09056603,-0.33691132,-0.45928726,0.042821564,-0.007578667,0.4471254,-0.20580882,-0.07591823,0.2486371,0.07313944,0.013725198,0.09584132,-0.12171245,0.08410252,-0.11312352,-0.002351688,0.2986077,-0.3427629,0.29554594,0.000560833,-0.21155246,0.044331066,0.079672754,0.5280497,0.51885796,-0.17187935,-0.15892544,0.20351332,-0.08311994,0.110498734,-0.24619794,0.036631517,0.26134834,0.077034794,0.06412977,-0.25884232,0.045109157,0.132270097]",0
17-02-20210316-238,"[-0.05290049,-0.007398965,0.30208686,-0.2659026,-0.105304316,-0.09828577,0.051464215,-0.042234816,-0.24532296,-0.21515864,-0.27146754,0.17415658,0.30735612,0.45961815,0.12666057,-0.040630627,0.63036984,0.2492062,0.2267946,0.1023092,-0.42988142,0.18957356,0.061947763,-0.17143027,0.3662837,-0.04723475,0.2535993,-0.036791615,-0.32425058,-0.6295146,-0.031863555,0.10133161,0.3166083,0.48172238,0.12333062,-0.21650468,-0.2958688,-0.6063369,0.69677573,0.15586989,0.005651929,0.11406213,-0.4339199,0.051195428,0.11318467,-0.067069,-0.42837757,0.15896392,0.16515048,-0.31673738,0.20823403,-0.055235744,-0.71612304,0.03325961,0.001126516,-0.21561113,0.17347783,-0.21091977,-0.059819944,-0.6051437,-0.05005393,0.24661893,0.302742,0.15406752,-0.22406554,0.009029877,0.06250902,0.008565481,0.14752054,-0.036129158,-0.4564552,-0.022044761,-0.18645376,0.044783827,0.051524553,0.4445624,-0.12801172,-0.28693736,0.06031242,-0.032945547,-0.17895196,0.47200146,0.09580408,-0.056253314,0.22526205,-0.08024598,0.22412802,0.12431047,0.17935798,0.25297558,0.24148864,-0.20332754,-0.6259402,-0.6005708,0.17541823,0.022316484,0.61285985,-0.30823454,0.033934616,0.22613968,0.0885015,-0.03536172,0.14481042,-0.122423105,0.10460989,-0.09408077,-0.047615074,0.35888264,-0.32535273,0.32539958,0.030008426,-0.21144298,0.14842486,0.21017718,0.58413273,0.6202142,-0.30721265,-0.33460045,0.30995297,-0.055063643,0.34121427,-0.31763425,0.21699744,0.33188254,0.18774238,0.114839874,-0.23249531,-0.0425725,-1.126457101]",0
17-02-20210318-240,"[0.11647928,-0.020420263,0.3812627,-0.3054558,-0.21297544,-0.009268477,0.010714531,-0.17068897,-0.26569837,-0.21028534,-0.24165979,0.1480245,0.2720435,0.44406548,0.0722677,0.00172884,0.6574289,0.37122282,0.2768927,0.23770367,-0.5301695,0.270604,0.19299732,-0.20499772,0.42082125,0.10224938,0.26367688,0.04439019,-0.32287246,-0.6166572,-0.09432213,0.13065165,0.295564,0.503053,0.10087812,-0.18493375,-0.22318469,-0.60956573,0.897849,-0.007167517,0.0800951,0.038964104,-0.59261477,0.072317086,0.1734102,-0.11335193,-0.395021,0.06415823,0.2129732,-0.29784468,0.0963378,-0.112800434,-0.8161242,-0.023723258,0.01119947,-0.115721144,0.13728045,-0.27352014,-0.09866497,-0.6555922,-0.08811656,0.21289864,0.26795244,0.17105928,-0.44280678,-0.011704781,-0.119532555,0.011124003,0.14109218,-0.003239863,-0.5181689,-0.08233718,-0.22166537,-0.017942104,0.107920945,0.42089084,-0.29735187,-0.2652194,0.04589577,-0.037082,-0.17329548,0.45380202,-0.001427497,0.10082553,0.13169047,-0.04066314,0.113898784,0.022376979,0.18095478,0.3960691,0.1646864,-0.07172998,-0.6654621,-0.66798836,0.10223344,-0.11543331,0.607326,-0.3575143,-0.00782085,0.18680228,0.04333837,-0.017744945,-0.04854232,-0.16864793,-0.046170205,-0.20070875,0.00093337,0.39087528,-0.32621545,0.40889215,0.034998134,-0.17656602,0.18800439,0.14196192,0.6096971,0.65231484,-0.2605488,-0.33478203,0.29536414,-0.022093382,0.19427189,-0.39339742,0.24206989,0.30986533,0.14446178,0.18055075,-0.28592986,0.088237636,0.210940547]",0
17-02-20210322-241,"[-0.026823822,-0.090780914,-0.1647229,-0.19502817,0.31703836,-0.04213582,-0.06885132,-0.044980153,0.082553804,0.12352379,0.09326956,-0.18196353,0.5238226,0.004729869,0.015935373,0.32118112,0.00639371,-0.2572803,0.020179223,0.16790576,0.08295128,-0.1486688,0.098345496,-0.10548064,-0.031491622,-0.19703981,-0.18783355,-0.25480223,0.15057802,-0.09093013,-0.19492565,0.0328976,-0.0979297,0.021452468,-0.12328468,0.13270845,-0.2808807,-0.033203598,0.0217195,0.011718501,0.044899296,0.005438902,0.16407205,-0.16448723,-0.027168889,0.029635252,0.08749517,0.020402435,-0.12382092,0.03510528,-0.11499356,-0.25959724,0.18366988,0.021715911,0.019282948,0.2698204,-0.0348718,0.002887206,0.069830514,-0.1535163,0.022985462,-0.06886142,-0.15894699,0.023922717,0.027844418,-0.101806276,0.3175788,-0.18421271,0.08238468,0.045949716,0.02781919,-0.35685113,0.05489561,0.21921001,-0.01166838,-0.13347915,-0.022890186,0.09640145,0.07000433,-0.2234002,0.025758285,0.10820539,0.006270053,0.043980595,-0.16184846,-0.042943764,0.16364717,0.23652184,-0.014715136,-0.33315745,-0.051330313,-0.13798206,-0.015663374,-0.048965737,-0.06936675,-0.117850795,-0.022351898,0.18649952,-0.03717093,0.06875127,0.25735566,0.11411294,-0.08881041,0.10469221,-0.098709576,0.103802994,-0.06252834,0.036820866,0.15486763,-0.10823849,0.014623491,0.11830478,-0.20526853,-0.08911272,0.0029922,-0.02089971,0.08785159,0.06875977,-0.20538476,0.0746172,-0.061882168,-0.20408908,-0.052011907,-0.02166893,-0.057301078,-0.030586066,0.12584212,-0.050543725,1.154985945]",1
